ID,TrieuChung,ChuanDoan,ChuyenKhoa,LoiKhuyen
13,"cảm thấy run không chỉ ở tay, chân, lưỡi, vận động khó khăn, kém linh hoạt hơn, Co cứng cơ khó chuyển động, khó giữ thăng bằng, Sa sút trí tuệ, đau vai, giảm khả năng phân biệt mùi, tính cách thay đổi bất thường, cảm giác mệt mỏi",Parkinson,"Thần kinh","Hiện nay chưa có phương pháp phòng ngừa bệnh Parkinson do chưa thể xác định được nguyên nhân chính xác dẫn đến bệnh. Tuy nhiên các chuyên gia cho rằng việc tăng cường sức khỏe não bộ và sớm tầm soát các bất thường thần kinh có thể giúp giảm nguy cơ mắc bệnh Parkinson, Bổ sung các loại thực phẩm đặc biệt là hoa quả giàu flavonoid, Thường xuyên tắm nắng để bổ sung vitamin D,Uống trà xanh hay cà phê giúp bổ sung caffeine hóa giúp ngăn độc tố xâm nhập và giết chết tế bào thần kinh,Thường xuyên vận động tập thể dục, Hạn chế tiếp xúc với môi trường có hại các hóa chất như thuốc trừ sâu"
14,"Đau bụng, Sốt và ớn lạnh, Buồn nôn và ói mửa, Tiêu chảy, có thể kèm theo máu, chất nhầy hoặc mủ, Đau khi đi đại tiện,Mệt mỏi","Cao huyết áp","Tim mạch","Bệnh lỵ nhẹ thường được điều trị bằng nghỉ ngơi và uống nhiều chất lỏng, ngoài ra có thể sử dụng thêm các thuốc không kê đơn nhằm giảm triệu chứng chuột rút và tiêu chảy. Người bệnh nên tránh các loại thuốc làm chậm đường ruột, có thể làm cho tình trạng bệnh càng tồi tệ hơn.
Bệnh lỵ nặng có thể được điều trị bằng kháng sinh, nhưng vi khuẩn gây ra nó thường kháng thuốc. Nếu bác sĩ kê toa một loại thuốc kháng sinh, sau khi sử dụng nếu người bệnh thấy cải thiện sau vài ngày, hãy cho bác sĩ biết. Chủng vi khuẩn Shigella đó có thể kháng thuốc và bác sĩ có thể cần điều chỉnh kế hoạch điều trị.
Bệnh lỵ do amip được điều trị bằng metronidazole hoặc tinidazole. Những loại thuốc này tiêu diệt ký sinh trùng."
15,"Cơn đau thắt ngực điển hình, Đau như bóp nghẹt phía sau xương ức hoặc hơi lệch sang trái, lan lên vai trái và mặt trong tay trái cho đến tận ngón tay,Cơn đau có thể lan lên cổ, cằm, vai, sau lưng, tay phải hoặc vùng thượng vị, Vã mồ hôi, Khó thở, thở khò khè,  Hồi hộp, đánh trống ngực, Nôn, buồn nôn, Lú lẫn, Rối loạn tiêu hóa","Bệnh van tim","Tim mạch","Khi bạn bị bệnh van tim, hãy luôn bảo vệ bản thân khỏi các vấn đề về tim trong tương lai, ngay cả khi bạn đã trải qua cuộc phẫu thuật sửa chữa hoặc thay van. Một số lời khuyên để trái tim luôn khỏe: chế độ ăn uống lành mạnh, vận động đều đặng, bỏ rượu bia, thuốc lá, giảm căng thẳng, khám sức khỏe định kỳ"
16,"Cơn đau thắt ngực điển hình, Đau như bóp nghẹt phía sau xương ức hoặc hơi lệch sang trái, lan lên vai trái và mặt trong tay trái cho đến tận ngón tay,Cơn đau có thể lan lên cổ, cằm, vai, sau lưng, tay phải hoặc vùng thượng vị, Vã mồ hôi, Khó thở, thở khò khè,  Hồi hộp, đánh trống ngực, Nôn, buồn nôn, Lú lẫn, Rối loạn tiêu hóa","Nhồi Mau Cơ Tim","Tim mạch","Có các biện pháp điều trị là:
- Dùng thuốc tiêu huyết khối: Phổ biến là thuốc Alteplase (rt-PA) hoặc Streptokinase (SK).
- Can thiệp động mạch vành (nong, đặt stent): Đưa stent vào vị trí động mạch vành bị tắc để giúp máu lưu thông trở lại.
- Mổ bắc cầu động mạch vành (CABG): Sử dụng đoạn mạch máu từ vị trí khác trong cơ thể làm cầu nối vị trí phía trước và phía sau nơi động mạch bị tắc để dòng máu lưu thông qua đoạn cầu nối này.
Việc lựa chọn phương pháp điều trị nào sẽ phụ thuộc vào khoảng thời gian bị nhồi máu cơ tim và tình trạng cụ thể của bệnh nhân."
17,"niêm mạc vùng họng sưng đỏ, xung huyết, họng có nhiều mụn nhỏ, mạch máu nổi rõ và có chất nhầy hoặc mủ phủ trên bề mặt,
sưng hạch bạch huyết ở cổ, cảm giác ngứa ngáy, khó chịu ở họng, họng sưng đau, khó nuốt thức ăn,  rất mẫn cảm và gây ra cảm giác buồn nôn, gây Sốt nhẹ và đau đầu.","Viêm họng ","Tai mũi họng","Đối với trường hợp nhẹ, chế độ ăn uống và sinh hoạt hợp lý sẽ giúp bạn khắc phục được chứng bệnh này. Dưới đây là một số cách chữa trị đơn giản ngay tại nhà, mà bạn có thể áp dụng ngay: Súc miệng bằng nước muối ấm,  Uống trà gừng mỗi ngày, Sử dụng máy tạo độ ẩm"
18,"Đau nhức đầu vùng trán, thái dương hoặc gò má, Ho dai dẳng, kéo dài, đặc biệt ho nhiều hơn vào ban đêm, Chảy mũi chảy liên tục, bị nghẹt mũi, tắc mũi một hoặc cả hai bên mũi, suy giảm khứu giác, không ngửi thấy mùi, Hơi thở có mùi hôi khó chịu, có cảm giác đau răng ở hàm trên, Ngứa mũi, nghẹt mũi và hắt hơi liên tục, Đau hoặc sưng xung quanh khu vực mắt, khiến tầm nhìn bị hạn chế.","Viêm Xoang","Tai mũi họng","Điều trị viêm mũi xoang bằng nội khoa chủ yếu áp dụng cho những trường hợp viêm xoang cấp tính. Các bác sĩ thường chỉ định bệnh nhân sử dụng các loại thuốc như kháng sinh, thuốc chống viêm, thuốc kháng dị ứng hoặc thuốc co mạch chống xuất tiết."
19,"thường xuất hiện vào đầu mùa lạnh hoặc mùa nóng, khiến người bệnh cảm thấy ngứa mũi, hắt hơi liên tục, đỏ mắt, ngứa mắt, chảy nước mắt, chảy nước mũi nhiều, dịch nhầy trong. Người bệnh cũng có thể có các biểu hiện như rát bỏng ở kết mạc, vòm họng, uể oải, mệt mỏi, nặng đầu. sổ mũi, hắt hơi, chảy mũi khi vừa thức dậy vào buổi sáng, giảm dần trong ngày nhưng lại tái phát khi tiếp xúc với bụi hay môi trường lạnh. Ban đầu nước mũi trong suốt nhưng càng về sau thì càng đặc lại, chảy thành từng đợt, nặng hơn thì có thể hắt hơi liên tục trong nhiều giờ liền.","Viêm Mũi Dị Ứng","Tai mũi họng","Để phòng ngừa viêm mũi dị ứng, bác sĩ khuyên bạn nên:
Tăng cường miễn dịch: Khi miễn dịch yếu, cơ thể rất dễ bị dị ứng. Do đó, tăng cường hệ miễn dịch là một trong những cách tốt nhất để bảo vệ cơ thể tránh khỏi viêm mũi dị ứng.
Tránh xa các tác nhân gây dị ứng: Khi biết bản thân bị dị ứng với chất gì, hãy cố gắng tránh tiếp xúc với chất đó. Đeo khẩu trang trong vùng có nguy cơ xuất hiện các chất gây dị ứng là biện pháp phòng vệ tốt cho người bệnh.
Bảo vệ tai mũi họng: Tai mũi họng là một hệ thống thông với nhau, nên bảo vệ vùng tai và họng tốt sẽ giúp mũi khỏe mạnh để giảm bớt nguy cơ bị viêm mũi dị ứng nặng hơn."
20,"Yếu tay hoặc chân, tay và chân kém, Co thắt cơ bắp và đau, Mất thăng bằng và đi lại khó khăn, Mất kiểm soát bàng quang hoặc ruột","Thoái Hóa Cột Sống","Cột sống","Chúng ta không thể ngăn cơ thể già đi, nhưng có thể thực hiện rất nhiều biện pháp khác để cải thiện sức khỏe của cột sống như sau:
Tuân thủ kế hoạch điều trị của bác sĩ và tiếp tục kế hoạch vật lý trị liệu tại nhà
Ngồi và đứng đúng cách.
Học cách nâng các đồ vật
Luyện tập thể dục đều đặn.
Đạt được và duy trì trọng lượng cơ thể hợp lý.
Ăn uống lành mạnh.
Bỏ thuốc lá.
Tránh sử dụng quá nhiều rượu.
Dành thời gian nghỉ ngơi khi đau nhiều."
21,"Da thâm sạm, dày sừng, nứt nẻ và có ranh giới rõ ràng với những vùng da lân cận. Có lắng đọng sắc tố: phía trên và rìa vùng da bị tổn thương có nốt sẩn màu xám. Có vảy da trắng, vảy máu do vết gãi. Các mảng viêm có thay đổi về màu da (tùy theo sắc tố da của mỗi người): có thể là đỏ, nâu, xám,","Viêm Da Cơ Địa","Da liễu","Bạn nên Tránh chà xát và gãi vùng da tổn thương. - Bôi kem dưỡng ẩm để chống khô da và tránh ngứa, hạn chế tái phát viêm da cơ địa. Lưu ý kem dưỡng ẩm cần phải được sử dụng đều đặn hàng ngày, dùng lâu dài khi triệu chứng của bệnh đã được cải thiện. - Mặc các loại vải mềm mại, thoáng khí (100% cotton)."
22,"nổi nốt sẩn phù và mẩn đỏ. ban đầu chỉ ở một vùng nhỏ nhưng sau đó sẽ lan ra toàn thân. ngứa ngáy, khó chịu, đặc biệt là vào chiều tối và đêm, có thể kèm theo khó thở, đau bụng, suy hô hấp,.","Nổi mề đay - mẩn ngứa","Da liễu","Điều trị mề đay tại nhà:
Dừng tất cả các loại thuốc hoặc thực phẩm nghi ngờ gây dị ứng
Hạn chế gãi, chà xát mạnh trên da
Có thể áp lạnh hoặc tắm lạnh, tránh tắm nóng
Tránh ánh sáng mặt trời trực tiếp
Tẩy giun sán, chống táo bón
Mặc quần áo cotton nhẹ nhàng, vừa vặn
Tránh các hoạt động nặng nhọc hoặc các nguyên nhân gây ra mồ hôi
Cố gắng nghỉ ngơi và giảm các stress"
23,"Nổi mụn nước và ngứa ngáy dữ dội, đặc biệt vào ban đêm
Bề mặt da, xuất hiện phát ban, sẩn ghẻ, đặc biệt thấy đường hầm ghẻ là các đường lằn da màu xám hoặc màu da, trên có mụn nước vảy da, thường gặp ở các kẽ ngón tay, nếp gấp cổ tay","Bệnh ghẻ","Da liễu","Phụ thuộc vào tình trạng bệnh nhân bị ghẻ giản đơn, ghẻ chàm hóa, ghẻ bội nhiễm, hay ghẻ sẩn cục…mà bác sĩ chuyên khoa Da liễu sẽ có kế hoạch điều trị cụ thể cho từng bệnh nhân.
Thuốc bôi tại chỗ: Kem permethrin 5%, dung dịch DEP (diethyl-phtalat), benzyl benzoat 10-25%, ivermectin 1%, sulfur 6-33%, malathion 0,5%, kem crotamiton.
Bôi thuốc đúng cách: Thường bôi thuốc vào buổi tối, chú ý bôi kỹ những vùng nếp gấp, sinh dục, quanh móng, sau tai; đối với trẻ em có thể bôi cả vùng mặt và đầu nếu có thương tổn và theo chỉ định của bác sĩ."
24,"Cảm giác nặng nề, căng tức ở vùng bụng dưới, Đau vùng chậu, đau lưng, Quá trình đại tiện và tiểu tiện gặp một số khó khăn, Đau khi gần gũi với bạn tình, Sụt cân không rõ nguyên nhân, Đau trong chu kỳ kinh, Xuất huyết âm đạo bất thường","U nang buồng trứng","Sản phụ khoa","Sử dụng thuốc ngừa thai, cho con bú trên 6 tháng được ghi nhận có thể giảm nguy cơ ung thư buồng trứng.
Thăm khám phụ khoa định kỳ: Việc theo dõi, thăm khám sức khỏe phụ khoa định kỳ 6 tháng/lần chính là giải pháp tối ưu giúp phát hiện sớm các dấu hiệu bất thường, từ đó có chẩn đoán chính xác và can thiệp điều trị ngay từ đầu, mang lại hiệu quả điều trị cao, cũng như tránh được những biến chứng nguy hiểm xảy ra."
25,"Căng thẳng, lo lắng quá mức, Đứng ngồi không yên, không giữ được bình tĩnh, nói nhiều, đi lại liên tục, não bộ không thể suy nghĩ được, Khả năng tập trung kém, Căng thẳng kéo dài sẽ gây mất khả năng tập trung, căng thẳng và lo lắng quá mức có thể gây suy giảm trí nhớ, Cảm thấy sợ hãi vô lý, Tim đập nhanh, mạnh, hít thở không sâu, thở gấp, run tay, run chân, ra mồ hôi nhiều, tê buốt tay, chân, đi tiểu nhiều lần, Cảm thấy mệt mỏi, uể oải, đau mỏi toàn thân.","Rối Loạn lo âu","Sức khỏe tâm thần","bạn nên giữ mình bận rộng, thiền định, tập trung vào sở thích hằng ngày, chăm sóc thú cưng"
26,"Ảo tưởng, ảo giác, rối loạn tư duy, lời nói, rối loạn vận động, ý nghĩ và hành vi tự sát.","Bệnh tâm thần phân liệt","Sức khỏe tâm thần","Bệnh tâm thần phân liệt cần điều trị suốt đời, ngay cả khi các triệu chứng đã thuyên giảm. Điều trị bằng thuốc và liệu pháp tâm lý có thể giúp kiểm soát tình trạng này. Những trường hợp, có thể cần phải nhập viện."
27,"Sốt, đau đầu, đau cơ, mệt mỏi, sổ mũi, đau họng và ho, triệu chứng ho thường nặng và kéo dài. buồn nôn, nôn, tiêu chảy ở trẻ em.","Cảm cúm","Hô hấp - phổi","Nghỉ ngơi và giữ cho cơ thể có đủ thời gian để hồi phục. Nếu cảm thấy mệt mỏi, hãy nghỉ ngơi và ngủ đủ giấc để cơ thể có thể đấu tranh chống lại vi rút.
Uống đủ nước để giữ cơ thể được cân bằng đủ lượng nước. Nước giúp làm mỏng chất nhầy trong mũi và họng, giảm các triệu chứng nghẹt mũi và đau họng.
Sử dụng thuốc giảm triệu chứng như paracetamol hoặc ibuprofen để giảm đau và hạ sốt. Hãy tuân thủ đúng hướng dẫn và liên hệ với bác sĩ nếu có bất kỳ thắc mắc nào.
Hạn chế tiếp xúc với người khác để không lây nhiễm và tránh lây lan bệnh cho người khác. Đặc biệt, hãy giữ khoảng cách và đeo khẩu trang khi giao tiếp với người khác.
Hãy hỗ trợ hệ miễn dịch của bạn bằng cách ăn uống một chế độ ăn đa dạng và giàu chất dinh dưỡng, bao gồm rau xanh, trái cây, thực phẩm giàu vitamin C và chất chống oxy hóa.
Hãy đảm bảo vệ sinh cá nhân tốt, bao gồm việc rửa tay thường xuyên bằng xà phòng và nước ấm trong ít nhất 20 giây."
28," nuốt vướng nhẹ, nói khó, khó cất giọng cao hoặc khó hát. Sau đó, bệnh nhân thấy tiếng khàn dần rồi dần dần mất tiếng. Có thể kèm theo ho có ít đờm vào buổi sáng. Có cảm giác ngứa, cay hoặc rát nhẹ vùng thanh quản.","Viêm thanh quản","Hô hấp - phổi","Nghỉ ngơi và tạo điều kiện cho cơ thể hồi phục. Hạn chế hoạt động vật lý căng thẳng.

Uống đủ nước để giữ cho cơ thể được cân bằng đủ lượng nước. Nước giúp làm mỏng chất nhầy trong thanh quản và hỗ trợ quá trình làm sạch và giảm vi khuẩn.

Hạn chế hút thuốc lá và tránh tiếp xúc với khói thuốc lá hoặc các chất kích thích khác. Khói thuốc lá có thể làm tăng viêm nhiễm và gây kích thích cho thanh quản.
Sử dụng thuốc giảm triệu chứng như thuốc ho hoặc thuốc chống viêm để giảm ho và viêm trong thanh quản. Hãy tuân thủ đúng hướng dẫn của bác sĩ hoặc nhà dược sĩ.
Hỗ trợ hệ miễn dịch của bạn bằng cách ăn uống chế độ ăn đa dạng và giàu chất dinh dưỡng, bao gồm nhiều rau xanh, trái cây và thực phẩm giàu vitamin C.
Đặt máy tạo ẩm trong phòng ngủ để giữ độ ẩm trong không khí, giúp làm mềm và làm mỏng chất nhầy trong thanh quản."
29,"Tức ngực, khó thở, mệt mỏi, suy nhược, Thân nhiệt cao. Cơ thể tiết ra nhiều mồ hôi.","Viêm phổi","Hô hấp - phổi","Viêm phổi là một tình trạng viêm nhiễm trong các phần phổi. Đây là một bệnh nghiêm trọng và đòi hỏi sự can thiệp và điều trị từ bác sĩ. Dưới đây là một số lời khuyên chung liên quan đến viêm phổi:
Điều trị theo hướng dẫn của bác sĩ: Nếu bạn được chẩn đoán mắc viêm phổi, hãy tuân thủ chế độ điều trị và uống thuốc theo hướng dẫn của bác sĩ. Điều này bao gồm sử dụng kháng sinh hoặc thuốc kháng vi khuẩn để tiêu diệt tác nhân gây viêm.
Nghỉ ngơi và tạo điều kiện cho cơ thể hồi phục: Nghỉ ngơi đủ giấc và tránh làm việc vất vả để giúp cơ thể có thời gian để đấu tranh chống lại viêm nhiễm và phục hồi.
Uống đủ nước: Đảm bảo cung cấp đủ lượng nước cho cơ thể để giữ cho đường hô hấp ẩm và giúp làm mỏng chất nhầy trong phổi, làm dễ dàng cho quá trình ho và tự làm sạch.
"
30," đỏ mắt, đau, cảm giác như có dị vật trong mắt, đau nhức, nhạy cảm với ánh sáng chói và tăng tiết nước mắt. Vết loét thường xuất hiện dưới dạng một đốm trắng hoặc mờ và xám trên giác mạc. Đôi khi, vết loét phát triển trên toàn bộ giác mạc và có thể ăn sâu. Mủ có thể tích tụ phía sau giác mạc, đôi khi tạo thành một lớp trắng ở đáy giác mạc (gọi là mủ tiền phòng). Kết mạc thường đỏ ngầu. Vết loét càng sâu thì các triệu chứng và biến chứng càng nặng.","Viêm loét giác mạc ","Chuyên khoa mắt","Loét giác mạc là một trường hợp khẩn cấp cần được điều trị ngay lập tức.
Thuốc nhỏ mắt kháng sinh, kháng vi rút hoặc kháng nấm thường cần thiết ngay lập tức và phải được dùng thường xuyên, đôi khi hàng giờ liên tục trong vài ngày.
Thuốc nhỏ làm giãn mắt, chẳng hạn như atropine hoặc scopolamine, có thể giúp giảm đau và giảm nguy cơ biến chứng.
Ghép giác mạc"
31,"đi tiểu liên tục, không kiểm soát được cơn mắc tiểu","Tiểu không tự chủ","Thận - tiết niệu","Chứng tiểu không tự chủ hoàn toàn có thể chủ động phòng ngừa bằng cách thay đổi thói quen sinh hoạt, ăn uống và tập luyện tích cực. Một số giải pháp hữu ích có thể tham khảo như:

Duy trì mức cân nặng hợp lý.
Thực hành một số bài tập sàn chậu có lợi.
Tránh sử dụng các chất kích thích bàng quang, chẳng hạn như: caffeine, rượu bia, thực phẩm có tính axit…
Xây dựng thực đơn giàu thành phần chất xơ để ngăn ngừa táo bón.
Không hút thuốc.
Điều trị dứt điểm các bệnh lý liên quan đến bàng quang, nhiễm trùng đường tiết niệu"
32,"Đau, tức bụng trên Cổ chướng Vàng da Vàng mắt​ Buồn nôn, nôn mửa Ăn mất ngon, cảm thấy no dù chỉ ăn một lượng thức ăn nhỏ Mệt mỏi Giảm cân không rõ lý do.","Ung Thư Gan","Ung bướu","Tiêm phòng đầy đủ vaccine phòng viêm gan B. - Hạn chế hoặc bỏ bia, rượu, thuốc lá, đặc biệt đối với những bệnh nhân có xơ gan, viêm gan virus. - Không dùng thuốc bừa bãi, đặc biệt thuốc chưa rõ nguồn gốc mà không tham khảo ý kiến bác sĩ"
33,"Ho khan dai dẳng uống thuốc không khỏi (đây là triệu chứng phổ biến nhất của ung thư phổi giai đoạn đầu) Ho có đờm lẫn máu Nhiễm trùng đường hô hấp tái phát nhiều lần Thường xuyên đau ngực, đau dai dẳng Khi khối u to hơn, chèn ép đường hô hấp sẽ có biểu hiện khó thở, khò khè, khàn tiếng, khó nuốt, nuốt đau Sụt cân không rõ lý do Suy nhược và mệt mỏi.","Ung Thư Phổi","Ung bướu","Theo các chuyên gia y tế, thuốc lá và các thức uống có cồn như rượu, bia,... là “thủ phạm chính” gây ra bệnh ung thư phổi. Vì vậy, bệnh nhân ung thư phổi trong quá trình điều trị bệnh phải tuyệt đối không hút thuốc lá cũng như sử dụng các chất có cồn."
34,"Dột ngột sốt cao, người mệt mỏi rũ rượi, nhức đầu, đau sau hốc mắt, đau cơ (đau thắt lưng và đôi khi đau chân), thường kèm theo đau họng, buồn nôn, nôn mửa, đau vùng thượng vị và tiêu chảy","Sốt Xuất Huyết","Truyền nhiễm","Để chủ động phòng bệnh sốt xuất huyết cần phải thực hiện các nguyên tắc sau: - Cần mặc áo dài tay, quần dài, mang tất, giày. - Đi ngủ mắc màn cả ngày lẫn đêm, phát quang bụi rậm, cây cỏ, khơi thông cống rãnh xung quanh nhà, dùng vợt diệt muỗi,"
35,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giác","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc). "
36,"hi, hello, chao, xin chao, hiii, hellooo, xin chào, chào",,TuVan,"Xin chào! Tôi là chatbot tư vấn sức khỏe. Bạn cần tôi giúp gì?"
37,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giács","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc)."
